"year","birth_order","births"
2016,"1",704
2016,"2",524
2016,"3",249
2016,"4",91
2016,"5",30
2016,"6",13
2016,NA,5
2016,"Not Stated",29
2018,"1",675
2018,"2",526
2018,"3",285
2018,"4",98
2018,"5",41
2018,"6",18
2018,NA,7
2018,"Not Stated",0
2017,"1",662
2017,"2",571
2017,"3",271
2017,"4",95
2017,"5",29
2017,"6",13
2017,NA,10
2017,"Not Stated",0
2019,"1",656
2019,"2",490
2019,"3",295
2019,"4",102
2019,"5",37
2019,"6",15
2019,NA,10
2019,"Not Stated",0
2020,"1",653
2020,"2",512
2020,"3",240
2020,"4",105
2020,"5",31
2020,"6",8
2020,NA,5
2020,"Not Stated",0
2021,"1",633
2021,"2",560
2021,"3",292
2021,"4",126
2021,"5",37
2021,"6",12
2021,NA,4
2021,"Not Stated",1
2023,"1",596
2023,"2",542
2023,"3",260
2023,"4",94
2023,"5",45
2023,"6",10
2023,NA,6
2023,"Not Stated",0
2023,"1",596
2023,"2",542
2023,"3",260
2023,"4",94
2023,"5",45
2023,"6",10
2023,NA,6
2023,"Not Stated",0
2024,"1",509
2024,"2",430
2024,"3",252
2024,"4",85
2024,"5",40
2024,"6",8
2024,NA,8
2024,"Not Stated",1
2024,"1",509
2024,"2",430
2024,"3",252
2024,"4",85
2024,"5",40
2024,"6",8
2024,NA,8
2024,"Not Stated",0
