"year","births"
1971,1837
1972,1723
1973,1639
1974,1860
1975,1806
1976,1642
1977,1599
1978,1796
1979,1730
1980,1830
1981,1802
1982,1552
1983,1662
1984,1739
1985,1729
1986,1722
1987,1684
1988,1643
1989,1600
1990,1617
1991,1706
1992,1601
1993,1689
1994,1700
1995,1582
1996,1611
1997,1475
1998,1412
1999,1460
2000,1512
2001,1440
2002,1481
2003,1498
2004,1435
2005,1536
2006,1467
2007,1499
2008,1546
2009,1580
2010,1504
2011,1625
2012,1645
2013,1566
2014,1557
2015,1592
2016,1645
2018,1650
2017,1651
2019,1605
2020,1554
2021,1665
2022,1569
2023,1553
2024,1333
