"year","age_group","sex","death"
2012,"<1","female",7
2012,"1-4","female",1
2012,"5-9","female",0
2012,"10-14","female",0
2012,"15-19","female",1
2012,"20-24","female",4
2012,"25-29","female",3
2012,"30-34","female",2
2012,"35-39","female",3
2012,"40-44","female",7
2012,"45-49","female",8
2012,"50-54","female",10
2012,"55-59","female",21
2012,"60-64","female",17
2012,"65-69","female",15
2012,"70-74","female",20
2012,"75-79","female",27
2012,"80-84","female",36
2012,"85+","female",87
2012,"<1","male",10
2012,"1-4","male",3
2012,"5-9","male",2
2012,"10-14","male",2
2012,"15-19","male",3
2012,"20-24","male",4
2012,"25-29","male",4
2012,"30-34","male",5
2012,"35-39","male",19
2012,"40-44","male",14
2012,"45-49","male",19
2012,"50-54","male",32
2012,"55-59","male",29
2012,"60-64","male",37
2012,"65-69","male",26
2012,"70-74","male",41
2012,"75-79","male",44
2012,"80-84","male",48
2012,"85+","male",40
2013,"<1","female",17
2013,"1-4","female",2
2013,"5-9","female",1
2013,"10-14","female",1
2013,"15-19","female",0
2013,"20-24","female",1
2013,"25-29","female",3
2013,"30-34","female",6
2013,"35-39","female",5
2013,"40-44","female",6
2013,"45-49","female",13
2013,"50-54","female",14
2013,"55-59","female",19
2013,"60-64","female",14
2013,"65-69","female",19
2013,"70-74","female",21
2013,"75-79","female",48
2013,"80-84","female",47
2013,"85+","female",97
2013,"<1","male",12
2013,"1-4","male",0
2013,"5-9","male",0
2013,"10-14","male",0
2013,"15-19","male",2
2013,"20-24","male",4
2013,"25-29","male",11
2013,"30-34","male",10
2013,"35-39","male",7
2013,"40-44","male",16
2013,"45-49","male",23
2013,"50-54","male",28
2013,"55-59","male",31
2013,"60-64","male",21
2013,"65-69","male",44
2013,"70-74","male",46
2013,"75-79","male",54
2013,"80-84","male",33
2013,"85+","male",41
2014,"<1","female",5
2014,"1-4","female",1
2014,"5-9","female",1
2014,"10-14","female",1
2014,"15-19","female",0
2014,"20-24","female",5
2014,"25-29","female",7
2014,"30-34","female",3
2014,"35-39","female",9
2014,"40-44","female",6
2014,"45-49","female",11
2014,"50-54","female",13
2014,"55-59","female",16
2014,"60-64","female",20
2014,"65-69","female",15
2014,"70-74","female",29
2014,"75-79","female",30
