"year","deaths"
1971,463
1972,529
1973,474
1974,496
1975,433
1976,466
1977,477
1978,466
1979,436
1980,444
1981,442
1982,482
1983,452
1984,487
1985,468
1986,498
1987,505
1988,504
1989,566
1990,543
1991,542
1992,522
1993,597
1994,562
1995,525
1996,566
1997,603
1998,570
1999,560
2000,553
2001,554
2002,647
2003,668
2004,611
2005,673
2006,664
2007,630
2008,662
2009,684
2010,664
2011,691
2012,651
2013,717
2014,725
2015,703
2016,747
2018,818
2017,748
2019,795
2020,668
2021,925
2022,941
2023,879
2024,850
