"month","year","population_start","live_births","deaths","migration","population_end"
"",NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA
"Jan-Jun",2009,87139,834,-298,-377,87298
"",NA,NA,NA,NA,NA,NA
"Jul-Dec",2009,87298,746,-358,-564,87122
"",NA,NA,NA,NA,NA,NA
"Jan-Jun",2010,87122,740,-316,-1021,86525
"Jul-Dec",2010,89770,764,-331,-2113,88090
"",NA,NA,NA,NA,NA,NA
"Jan-Jun",2011,88090,775,-324,-1100,87441
"",NA,NA,NA,NA,NA,NA
"Jul-Dec",2011,87441,850,-328,310,88273
"",NA,NA,NA,NA,NA,NA
"Jan-Jun",2012,88273,838,-322,-486,88303
"",NA,NA,NA,NA,NA,NA
"Jul-Dec",2012,88303,807,-306,1115,89919
"",NA,NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA,NA
"Jul-Dec",2013,89949,758,-344,619,90982
"",NA,NA,NA,NA,NA,NA
"Jan-Jun",2014,90982,777,-342,-58,91359
"",NA,NA,NA,NA,NA,NA
"Jul-Dec",2014,91359,780,-346,333,92126
"",NA,NA,NA,NA,NA,NA
"Jan-Jun",2015,92126,810,-346,829,93419
"",NA,NA,NA,NA,NA,NA
