"age","male","female","total"
"0",768,755,1523
"1",756,748,1504
"2",828,793,1621
"3",857,775,1632
"4",827,791,1618
"5",797,759,1556
"6",790,721,1511
"7",766,685,1451
"8",785,749,1534
"9",875,804,1679
"10",736,720,1456
"11",535,446,981
"12",626,603,1229
"13",449,536,985
"14",568,582,1150
"15",583,442,1025
"16",563,523,1086
"17",389,576,965
"18",517,461,978
"19",536,580,1116
"20",432,500,932
"21",325,443,768
"22",415,269,684
"23",260,237,497
"24",369,184,553
"25",259,207,466
"26",433,241,674
"27",453,499,952
"28",659,352,1011
"29",825,525,1350
"30",637,550,1187
"31",390,354,744
"32",621,493,1114
"33",863,650,1513
"34",1002,541,1543
"35",906,573,1479
"36",829,881,1710
"37",822,775,1597
"38",1087,519,1606
"39",1229,1048,2277
"40",1011,1134,2145
"41",953,943,1896
"42",805,661,1466
"43",763,694,1457
"44",450,648,1098
"45",733,599,1332
"46",717,729,1446
"47",796,665,1461
"48",777,658,1435
"49",1145,989,2134
"50",835,894,1729
"51",1026,664,1690
"52",585,694,1279
"53",620,816,1436
"54",449,767,1216
"55",420,680,1100
"56",633,623,1256
"57",789,909,1698
"58",562,820,1382
"59",881,1035,1916
"60",1094,1114,2208
"61",858,841,1699
"62",635,601,1236
"63",548,569,1117
"64",502,694,1196
"65",619,579,1198
"66",645,509,1154
"67",623,546,1169
"68",340,496,836
"69",431,410,841
"70",349,473,822
"71",352,374,726
"72",348,289,637
"73",277,293,570
"74",205,212,417
"75",121,231,352
"76",224,249,473
"77",132,162,294
"78",153,121,274
"79",161,180,341
"80",53,168,221
"81",97,148,245
"82",62,120,182
"83",55,146,201
"84",32,122,154
"85",43,83,126
"86",48,87,135
"87",14,106,120
"88",37,89,126
"89",-3,61,58
"90+",16,229,245
