"year","age","male","female","total"
"2017",0,829,794,1623
"2017",1,799,760,1559
"2017",2,791,721,1512
"2017",3,766,686,1452
"2017",4,786,750,1536
"2017",5,875,804,1679
"2017",6,738,721,1459
"2017",7,535,446,981
"2017",8,628,604,1232
"2017",9,449,536,985
"2017",10,568,583,1151
"2017",11,583,443,1026
"2017",12,564,524,1088
"2017",13,390,577,967
"2017",14,524,462,986
"2017",15,538,582,1120
"2017",16,436,500,936
"2017",17,327,443,770
"2017",18,418,270,688
"2017",19,261,237,498
"2017",20,376,188,564
"2017",21,262,207,469
"2017",22,437,242,679
"2017",23,460,500,960
"2017",24,667,355,1022
"2017",25,831,528,1359
"2017",26,646,553,1199
"2017",27,396,356,752
"2017",28,629,497,1126
"2017",29,866,656,1522
"2017",30,1008,543,1551
"2017",31,916,579,1495
"2017",32,837,886,1723
"2017",33,828,779,1607
"2017",34,1091,523,1614
"2017",35,1239,1053,2292
"2017",36,1020,1138,2158
"2017",37,958,948,1906
"2017",38,818,667,1485
"2017",39,779,703,1482
"2017",40,463,654,1117
"2017",41,738,606,1344
"2017",42,729,735,1464
"2017",43,810,669,1479
"2017",44,789,666,1455
"2017",45,1173,999,2172
"2017",46,859,906,1765
"2017",47,1043,672,1715
"2017",48,607,701,1308
"2017",49,651,828,1479
"2017",50,468,777,1245
"2017",51,441,694,1135
"2017",52,667,638,1305
"2017",53,827,925,1752
"2017",54,588,831,1419
"2017",55,910,1057,1967
"2017",56,1131,1130,2261
"2017",57,902,862,1764
"2017",58,658,611,1269
"2017",59,576,587,1163
"2017",60,536,711,1247
"2017",61,667,597,1264
"2017",62,675,532,1207
"2017",63,653,560,1213
"2017",64,370,511,881
"2017",65,462,429,891
"2017",66,389,487,876
"2017",67,386,393,779
"2017",68,383,311,694
"2017",69,304,319,623
"2017",70,242,228,470
"2017",71,163,256,419
"2017",72,252,270,522
"2017",73,152,188,340
"2017",74,186,149,335
"2017",75,200,204,404
"2017",76,97,203,300
"2017",77,128,182,310
"2017",78,102,152,254
"2017",79,76,184,260
"2017",80,65,162,227
"2017",81,70,121,191
"2017",82,73,129,202
"2017",83,40,142,182
"2017",84,67,125,192
"2017",85,16,113,129
"2017",86,39,92,131
"2017",87,30,89,119
"2017",88,8,76,84
"2017",89,23,54,77
"2017",90,40,189,229
"2018",0,860,779,1639
"2018",1,827,793,1620
"2018",2,798,759,1557
"2018",3,791,721,1512
"2018",4,766,686,1452
"2018",5,786,749,1535
"2018",6,875,804,1679
"2018",7,736,720,1456
"2018",8,535,446,981
"2018",9,627,604,1231
"2018",10,449,536,985
"2018",11,568,583,1151
"2018",12,583,443,1026
"2018",13,564,524,1088
"2018",14,390,577,967
"2018",15,522,462,984
"2018",16,538,581,1119
"2018",17,435,500,935
"2018",18,327,443,770
"2018",19,417,270,687
"2018",20,260,237,497
"2018",21,373,187,560
"2018",22,262,207,469
"2018",23,436,241,677
"2018",24,459,499,958
"2018",25,664,353,1017
"2018",26,829,528,1357
"2018",27,645,552,1197
"2018",28,395,356,751
"2018",29,627,497,1124
"2018",30,866,654,1520
"2018",31,1008,542,1550
"2018",32,914,579,1493
"2018",33,835,885,1720
"2018",34,825,779,1604
"2018",35,1090,520,1610
"2018",36,1236,1050,2286
"2018",37,1018,1137,2155
"2018",38,957,945,1902
"2018",39,814,665,1479
"2018",40,778,702,1480
"2018",41,461,653,1114
"2018",42,737,605,1342
"2018",43,725,733,1458
"2018",44,808,668,1476
"2018",45,783,665,1448
"2018",46,1167,996,2163
"2018",47,855,903,1758
"2018",48,1040,668,1708
"2018",49,601,701,1302
"2018",50,645,826,1471
"2018",51,462,774,1236
"2018",52,436,690,1126
"2018",53,661,633,1294
"2018",54,818,922,1740
"2018",55,582,830,1412
"2018",56,902,1053,1955
"2018",57,1128,1128,2256
"2018",58,898,861,1759
"2018",59,649,610,1259
"2018",60,569,583,1152
"2018",61,527,704,1231
"2018",62,656,592,1248
"2018",63,670,526,1196
"2018",64,644,557,1201
"2018",65,366,509,875
"2018",66,454,425,879
"2018",67,377,484,861
"2018",68,379,389,768
"2018",69,377,308,685
"2018",70,297,314,611
"2018",71,231,222,453
"2018",72,156,248,404
"2018",73,243,266,509
"2018",74,148,181,329
"2018",75,179,140,319
"2018",76,192,202,394
"2018",77,86,195,281
"2018",78,122,175,297
"2018",79,91,144,235
"2018",80,71,175,246
"2018",81,53,151,204
"2018",82,62,112,174
"2018",83,64,116,180
"2018",84,34,131,165
"2018",85,56,114,170
"2018",86,11,97,108
"2018",87,31,87,118
"2018",88,25,81,106
"2018",89,6,70,76
"2018",90,39,191,230
"2019",0,832,795,1627
"2019",1,858,776,1634
