"year","age","population"
2017,"0",1623
2017,"1",1559
2017,"2",1512
2017,"3",1452
2017,"4",1536
2017,"5",1679
2017,"6",1459
2017,"7",981
2017,"8",1232
2017,"9",985
2017,"10",1151
2017,"11",1026
2017,"12",1088
2017,"13",967
2017,"14",986
2017,"15",1120
2017,"16",936
2017,"17",770
2017,"18",688
2017,"19",498
2017,"20",564
2017,"21",469
2017,"22",679
2017,"23",960
2017,"24",1022
2017,"25",1359
2017,"26",1199
2017,"27",752
2017,"28",1126
2017,"29",1522
2017,"30",1551
2017,"31",1495
2017,"32",1723
2017,"33",1607
2017,"34",1614
2017,"35",2292
2017,"36",2158
2017,"37",1906
2017,"38",1485
2017,"39",1482
2017,"40",1117
2017,"41",1344
2017,"42",1464
2017,"43",1479
2017,"44",1455
2017,"45",2172
2017,"46",1765
2017,"47",1715
2017,"48",1308
2017,"49",1479
2017,"50",1245
2017,"51",1135
2017,"52",1305
2017,"53",1752
2017,"54",1419
2017,"55",1967
2017,"56",2261
2017,"57",1764
2017,"58",1269
2017,"59",1163
2017,"60",1247
2017,"61",1264
2017,"62",1207
2017,"63",1213
2017,"64",881
2017,"65",891
2017,"66",876
2017,"67",779
2017,"68",694
2017,"69",623
2017,"70",470
2017,"71",419
2017,"72",522
2017,"73",340
2017,"74",335
2017,"75",404
2017,"76",300
2017,"77",310
2017,"78",254
2017,"79",260
2017,"80",227
2017,"81",191
2017,"82",202
2017,"83",182
2017,"84",192
2017,"85",129
2017,"86",131
2017,"87",119
2017,"88",84
2017,"89",77
2017,"90+",229
2018,"0",1639
2018,"1",1620
2018,"2",1557
2018,"3",1512
2018,"4",1452
2018,"5",1535
2018,"6",1679
2018,"7",1456
2018,"8",981
2018,"9",1231
2018,"10",985
2018,"11",1151
2018,"12",1026
2018,"13",1088
2018,"14",967
2018,"15",984
2018,"16",1119
2018,"17",935
2018,"18",770
2018,"19",687
2018,"20",497
2018,"21",560
2018,"22",469
2018,"23",677
2018,"24",958
2018,"25",1017
2018,"26",1357
2018,"27",1197
2018,"28",751
2018,"29",1124
2018,"30",1520
2018,"31",1550
2018,"32",1493
2018,"33",1720
2018,"34",1604
2018,"35",1610
2018,"36",2286
2018,"37",2155
2018,"38",1902
2018,"39",1479
2018,"40",1480
2018,"41",1114
2018,"42",1342
2018,"43",1458
2018,"44",1476
2018,"45",1448
2018,"46",2163
2018,"47",1758
2018,"48",1708
2018,"49",1302
2018,"50",1471
2018,"51",1236
2018,"52",1126
2018,"53",1294
2018,"54",1740
2018,"55",1412
2018,"56",1955
2018,"57",2256
2018,"58",1759
2018,"59",1259
2018,"60",1152
2018,"61",1231
2018,"62",1248
2018,"63",1196
2018,"64",1201
2018,"65",875
2018,"66",879
2018,"67",861
2018,"68",768
2018,"69",685
2018,"70",611
2018,"71",453
2018,"72",404
2018,"73",509
2018,"74",329
2018,"75",319
2018,"76",394
2018,"77",281
2018,"78",297
2018,"79",235
2018,"80",246
2018,"81",204
2018,"82",174
2018,"83",180
2018,"84",165
2018,"85",170
2018,"86",108
2018,"87",118
2018,"88",106
2018,"89",76
2018,"90+",230
2019,"0",1627
2019,"1",1634
2019,"2",1620
2019,"3",1557
2019,"4",1511
2019,"5",1451
2019,"6",1534
2019,"7",1679
2019,"8",1456
2019,"9",981
2019,"10",1229
2019,"11",985
2019,"12",1151
2019,"13",1025
2019,"14",1088
2019,"15",966
2019,"16",982
2019,"17",1119
2019,"18",934
2019,"19",769
2019,"20",686
2019,"21",497
2019,"22",556
2019,"23",468
2019,"24",675
2019,"25",955
2019,"26",1015
2019,"27",1353
2019,"28",1194
2019,"29",747
2019,"30",1121
2019,"31",1517
2019,"32",1547
2019,"33",1484
2019,"34",1715
2019,"35",1600
2019,"36",1607
2019,"37",2283
2019,"38",2153
2019,"39",1900
2019,"40",1478
2019,"41",1474
2019,"42",1109
2019,"43",1339
2019,"44",1451
2019,"45",1470
2019,"46",1447
2019,"47",2156
2019,"48",1746
2019,"49",1702
2019,"50",1295
2019,"51",1451
2019,"52",1224
2019,"53",1122
2019,"54",1287
2019,"55",1724
2019,"56",1403
2019,"57",1946
2019,"58",2240
2019,"59",1744
2019,"60",1248
2019,"61",1143
2019,"62",1220
2019,"63",1235
2019,"64",1184
2019,"65",1191
2019,"66",864
2019,"67",866
2019,"68",849
2019,"69",756
