"year","age","sex","population"
"2017",0,"female",794
"2017",1,"female",760
"2017",2,"female",721
"2017",3,"female",686
"2017",4,"female",750
"2017",5,"female",804
"2017",6,"female",721
"2017",7,"female",446
"2017",8,"female",604
"2017",9,"female",536
"2017",10,"female",583
"2017",11,"female",443
"2017",12,"female",524
"2017",13,"female",577
"2017",14,"female",462
"2017",15,"female",582
"2017",16,"female",500
"2017",17,"female",443
"2017",18,"female",270
"2017",19,"female",237
"2017",20,"female",188
"2017",21,"female",207
"2017",22,"female",242
"2017",23,"female",500
"2017",24,"female",355
"2017",25,"female",528
"2017",26,"female",553
"2017",27,"female",356
"2017",28,"female",497
"2017",29,"female",656
"2017",30,"female",543
"2017",31,"female",579
"2017",32,"female",886
"2017",33,"female",779
"2017",34,"female",523
"2017",35,"female",1053
"2017",36,"female",1138
"2017",37,"female",948
"2017",38,"female",667
"2017",39,"female",703
"2017",40,"female",654
"2017",41,"female",606
"2017",42,"female",735
"2017",43,"female",669
"2017",44,"female",666
"2017",45,"female",999
"2017",46,"female",906
"2017",47,"female",672
"2017",48,"female",701
"2017",49,"female",828
"2017",50,"female",777
"2017",51,"female",694
"2017",52,"female",638
"2017",53,"female",925
"2017",54,"female",831
"2017",55,"female",1057
"2017",56,"female",1130
"2017",57,"female",862
"2017",58,"female",611
"2017",59,"female",587
"2017",60,"female",711
"2017",61,"female",597
"2017",62,"female",532
"2017",63,"female",560
"2017",64,"female",511
"2017",65,"female",429
"2017",66,"female",487
"2017",67,"female",393
"2017",68,"female",311
"2017",69,"female",319
"2017",70,"female",228
"2017",71,"female",256
"2017",72,"female",270
"2017",73,"female",188
"2017",74,"female",149
"2017",75,"female",204
"2017",76,"female",203
"2017",77,"female",182
"2017",78,"female",152
"2017",79,"female",184
"2017",80,"female",162
"2017",81,"female",121
"2017",82,"female",129
"2017",83,"female",142
"2017",84,"female",125
"2017",85,"female",113
"2017",86,"female",92
"2017",87,"female",89
"2017",88,"female",76
"2017",89,"female",54
"2017",90,"female",189
"2017",0,"male",829
"2017",1,"male",799
"2017",2,"male",791
"2017",3,"male",766
"2017",4,"male",786
"2017",5,"male",875
"2017",6,"male",738
"2017",7,"male",535
"2017",8,"male",628
"2017",9,"male",449
"2017",10,"male",568
"2017",11,"male",583
"2017",12,"male",564
"2017",13,"male",390
"2017",14,"male",524
"2017",15,"male",538
"2017",16,"male",436
"2017",17,"male",327
"2017",18,"male",418
"2017",19,"male",261
"2017",20,"male",376
"2017",21,"male",262
"2017",22,"male",437
"2017",23,"male",460
"2017",24,"male",667
"2017",25,"male",831
"2017",26,"male",646
"2017",27,"male",396
"2017",28,"male",629
"2017",29,"male",866
"2017",30,"male",1008
"2017",31,"male",916
"2017",32,"male",837
"2017",33,"male",828
"2017",34,"male",1091
"2017",35,"male",1239
"2017",36,"male",1020
"2017",37,"male",958
"2017",38,"male",818
"2017",39,"male",779
"2017",40,"male",463
"2017",41,"male",738
"2017",42,"male",729
"2017",43,"male",810
"2017",44,"male",789
"2017",45,"male",1173
"2017",46,"male",859
"2017",47,"male",1043
"2017",48,"male",607
"2017",49,"male",651
"2017",50,"male",468
"2017",51,"male",441
"2017",52,"male",667
"2017",53,"male",827
"2017",54,"male",588
"2017",55,"male",910
"2017",56,"male",1131
"2017",57,"male",902
"2017",58,"male",658
"2017",59,"male",576
"2017",60,"male",536
"2017",61,"male",667
"2017",62,"male",675
"2017",63,"male",653
"2017",64,"male",370
"2017",65,"male",462
"2017",66,"male",389
"2017",67,"male",386
"2017",68,"male",383
"2017",69,"male",304
"2017",70,"male",242
"2017",71,"male",163
"2017",72,"male",252
"2017",73,"male",152
"2017",74,"male",186
"2017",75,"male",200
"2017",76,"male",97
"2017",77,"male",128
"2017",78,"male",102
"2017",79,"male",76
"2017",80,"male",65
"2017",81,"male",70
"2017",82,"male",73
"2017",83,"male",40
"2017",84,"male",67
"2017",85,"male",16
"2017",86,"male",39
"2017",87,"male",30
"2017",88,"male",8
"2017",89,"male",23
"2017",90,"male",40
"2017",0,"both",1623
"2017",1,"both",1559
